model,representation,feature_set,n_features,accuracy,precision,recall,f1,fpr,auc,cv_best_f1,tp,fp,tn,fn,best_params
LinearSVM,tfidf_unigram,hybrid,3188,0.9874031007751938,0.96,0.9375,0.9486166007905138,0.0055309734513274336,0.9971308075221239,0.9431079065960573,120,5,899,8,{'C': 1}
LinearSVM,tfidf_unigram,text_only,3183,0.9874031007751938,0.967479674796748,0.9296875,0.9482071713147411,0.004424778761061947,0.9886442201327433,0.9172268396153941,119,4,900,9,{'C': 1}
LogisticRegression,tfidf_bigram,hybrid,9627,0.9883720930232558,0.9603174603174603,0.9453125,0.952755905511811,0.0055309734513274336,0.998046875,0.9443344015653377,121,5,899,7,{'C': 10}
LogisticRegression,tfidf_bigram,text_only,9622,0.9864341085271318,0.9596774193548387,0.9296875,0.9444444444444444,0.0055309734513274336,0.9930171460176991,0.9199948692290588,119,5,899,9,{'C': 10}
MultinomialNB,bow,hybrid,3188,0.9854651162790697,0.9669421487603306,0.9140625,0.9397590361445783,0.004424778761061947,0.9802613384955752,0.9303260879603741,117,4,900,11,{'alpha': 1.0}
MultinomialNB,bow,text_only,3183,0.9835271317829457,0.9586776859504132,0.90625,0.9317269076305221,0.0055309734513274336,0.9773143667035398,0.9251664740531602,116,5,899,12,{'alpha': 1.0}
XGBoost,bow,hybrid,3188,0.9854651162790697,0.9448818897637795,0.9375,0.9411764705882353,0.007743362831858407,0.9973555033185841,0.9418553751149034,120,7,897,8,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 400}"
XGBoost,bow,text_only,3183,0.9825581395348837,0.9583333333333334,0.8984375,0.9274193548387096,0.0055309734513274336,0.9806675193584071,0.8922069833343139,115,5,899,13,"{'learning_rate': 0.3, 'max_depth': 4, 'n_estimators': 200}"
