model,representation,fit_time_s,fit_time_iqr_s,infer_latency_ms,infer_latency_iqr_ms,model_size_bytes,model_size_kb,f1,fpr
MultinomialNB,bow,0.16,0.0282,0.0376,0.00446,139576,136.3,0.931726907630522,0.0055309734513274
LogisticRegression,tfidf_bigram,0.304,0.044,0.05269,0.01578,288319,281.6,0.9444444444444444,0.0055309734513274
LinearSVM,tfidf_unigram,0.142,0.0235,0.0302,0.00829,88739,86.7,0.9482071713147412,0.0044247787610619
XGBoost,bow,0.443,0.0136,0.02899,0.00584,262383,256.2,0.9274193548387096,0.0055309734513274
