experiment,model,representation,f1_baseline,f1_treatment,f1_delta,fpr_baseline,fpr_treatment,fpr_delta,recall_baseline,recall_treatment,n_test,spam_rate_baseline,spam_rate_treatment,f1_near_dup_slice,n_near_dup,recall_near_dup_slice
ltgt_removed,MultinomialNB,bow,0.9317269076305221,0.928,-0.0037269076305220805,0.0055309734513274336,0.00663716814159292,0.0011061946902654867,0.90625,0.90625,1032,0.12403100775193798,0.12403100775193798,,,
ltgt_removed,LogisticRegression,tfidf_bigram,0.9444444444444444,0.9365079365079365,-0.007936507936507908,0.0055309734513274336,0.00663716814159292,0.0011061946902654867,0.9296875,0.921875,1032,0.12403100775193798,0.12403100775193798,,,
ltgt_removed,LinearSVM,tfidf_unigram,0.9482071713147411,0.9407114624505929,-0.007495708864148187,0.004424778761061947,0.00663716814159292,0.0022123893805309734,0.9296875,0.9296875,1032,0.12403100775193798,0.12403100775193798,,,
ltgt_removed,XGBoost,bow,0.9274193548387096,0.912,-0.015419354838709598,0.0055309734513274336,0.008849557522123894,0.00331858407079646,0.8984375,0.890625,1032,0.12403100775193798,0.12403100775193798,,,
near_duplicate_slice,MultinomialNB,bow,0.9317269076305221,0.8823529411764706,-0.049373966454051565,0.0055309734513274336,0.004519774011299435,-0.0010111994400279984,0.90625,0.8333333333333334,957,0.12403100775193798,0.07523510971786834,0.9911504424778761,75.0,1.0
near_duplicate_slice,LogisticRegression,tfidf_bigram,0.9444444444444444,0.9064748201438849,-0.0379696243005595,0.0055309734513274336,0.004519774011299435,-0.0010111994400279984,0.9296875,0.875,957,0.12403100775193798,0.07523510971786834,0.9911504424778761,75.0,1.0
near_duplicate_slice,LinearSVM,tfidf_unigram,0.9482071713147411,0.9130434782608695,-0.03516369305387157,0.004424778761061947,0.003389830508474576,-0.0010349482525873707,0.9296875,0.875,957,0.12403100775193798,0.07523510971786834,0.9911504424778761,75.0,1.0
near_duplicate_slice,XGBoost,bow,0.9274193548387096,0.8740740740740741,-0.053345280764635516,0.0055309734513274336,0.004519774011299435,-0.0010111994400279984,0.8984375,0.8194444444444444,957,0.12403100775193798,0.07523510971786834,0.9911504424778761,75.0,1.0
